Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
710,-22.8891,15.6363,-21.99,12.5926,0.0923275,1.01908,-0.89911,3.04366,2023.31,-22.8586,15.6305,0
722,-22.8788,15.6612,-21.99,12.5926,0.854483,2.0732,-0.888856,3.06854,2022.88,-22.8072,15.6863,0
730,-22.8717,15.6781,-21.99,12.5926,0.892868,2.11496,-0.881713,3.08546,2022.56,-22.8887,15.703,0
738,-22.8719,15.6789,-21.99,12.5926,-0.021724,0.0986433,-0.881887,3.08625,2022.22,-22.8471,15.6715,0
751,-22.8832,15.6807,-21.99,12.5926,-0.870969,0.136555,-0.893209,3.08802,2021.69,-22.9569,15.6595,0
762,-22.8984,15.673,-21.99,12.5926,-1.38605,-0.698678,-0.908456,3.08034,2020.66,-22.8515,15.6824,0
770,-22.8931,15.656,-21.99,12.5926,0.665022,-2.11808,-0.903136,3.06339,2018.72,-22.9673,15.6465,0
782,-22.8927,15.6553,-21.99,12.5926,0.0374164,-0.0639642,-0.902687,3.06262,2015.47,-23.0211,15.6719,0
790,-22.8885,15.6548,-21.99,12.5926,0.524149,-0.0535049,-0.898493,3.0622,2011.18,-22.8915,15.5222,0
802,-22.8888,15.6638,-21.99,12.5926,-0.0242555,0.751079,-0.898784,3.07121,2007.13,-22.7282,15.7889,0
811,-22.8756,15.6622,-21.99,12.5926,1.46467,-0.187077,-0.885602,3.06952,2004.47,-22.8691,15.679,0
822,-22.8662,15.6603,-21.99,12.5926,0.855208,-0.165229,-0.876195,3.06771,2003.31,-22.9107,15.6862,0
830,-22.8761,15.6619,-21.99,12.5926,-1.23395,0.191633,-0.886067,3.06924,2003.06,-22.8871,15.6468,0
842,-22.8999,15.6571,-21.99,12.5926,-1.98928,-0.395437,-0.909938,3.0645,2003.29,-22.8681,15.6375,0
850,-22.9017,15.6485,-21.99,12.5926,-0.221225,-1.0747,-0.911708,3.0559,2003.99,-23.0306,15.6684,0
862,-22.8783,15.6408,-21.99,12.5926,1.94938,-0.639869,-0.888315,3.04822,2005.24,-22.9551,15.6757,0
870,-22.8631,15.6339,-21.99,12.5926,1.89749,-0.866932,-0.873135,3.04128,2006.65,-22.8578,15.6262,0
882,-22.8614,15.6284,-21.99,12.5926,0.140708,-0.459968,-0.871447,3.03576,2007.56,-22.8193,15.6097,0
890,-22.8478,15.6254,-21.99,12.5926,1.7079,-0.376371,-0.857784,3.03275,2007.86,-22.8115,15.6138,0
903,-22.8287,15.619,-21.99,12.5926,1.4679,-0.494669,-0.838701,3.02632,2007.93,-22.8671,15.6264,0
910,-22.7955,15.6055,-21.99,12.5926,4.74429,-1.92399,-0.805491,3.01285,2008.02,-22.8958,15.6512,0
922,-22.2765,15.3449,-21.99,12.5926,43.2461,-21.7144,-0.286537,2.75228,2008.4,-20.7276,14.8954,0
930,-20.523,14.7204,-21.99,12.5926,219.195,-78.0604,1.46702,2.1278,2009.93,-17.8615,13.8121,2
942,-17.3029,13.8781,-21.99,12.5926,268.342,-70.1944,4.68712,1.28547,2015.4,-15.261,13.3815,2
950,-13.9953,13.2024,-21.99,12.5926,413.443,-84.4614,7.99466,0.609775,2030,-12.6084,12.969,2
962,-11.9369,12.8774,-21.99,12.5926,171.538,-27.0824,10.0531,0.284785,2056.56,-9.91396,12.5748,2
970,-9.8862,12.5735,-21.99,12.5926,256.334,-37.9947,12.1038,-0.0191723,2090.68,-7.18895,12.1991,2
982,-7.16074,12.1996,-21.99,12.5926,227.122,-31.1528,14.8292,-0.393006,2126.82,-4.44543,11.8421,2
990,-3.75789,11.7579,-21.99,12.5926,425.357,-55.2161,18.2321,-0.834735,2160.93,-1.69598,11.5039,2
1002,-0.378656,11.3464,-21.99,12.5926,281.603,-34.2955,21.6113,-1.24628,2186.02,1.04665,11.1848,2
1014,1.7519,11.1031,-21.99,12.5926,177.546,-20.2744,23.7419,-1.48957,2198.69,3.76992,10.8849,2
1022,4.29097,10.822,-21.99,12.5926,317.384,-35.1364,26.281,-1.77066,2203.53,6.4618,10.6043,2
1034,6.12541,10.6249,-21.99,12.5926,152.87,-16.4209,28.1154,-1.96771,2206.67,6.51166,10.6895,0
1042,6.20105,10.6166,-21.99,12.5926,9.45563,-1.045,28.191,-1.97607,2211.9,6.20819,10.5997,0
1054,6.20047,10.6076,-21.99,12.5926,-0.0486946,-0.746269,28.1905,-1.98503,2220.74,6.16961,10.2664,0
1062,6.19988,10.5987,-21.99,12.5926,-0.0732562,-1.11019,28.1899,-1.99391,2230.97,6.14625,10.1171,0
1074,6.19997,10.5977,-21.99,12.5926,0.00726609,-0.0882316,28.19,-1.99497,2238.5,6.13836,10.2934,0
1083,6.20426,10.597,-21.99,12.5926,0.476481,-0.078415,28.1942,-1.99568,2242.03,6.2387,10.482,0
1094,6.22121,10.5893,-21.99,12.5926,1.54103,-0.69842,28.2112,-2.00336,2243.34,6.27234,10.7243,0
1102,6.22049,10.5669,-21.99,12.5926,-0.089572,-2.80153,28.2105,-2.02577,2244.23,6.22169,10.6866,0
1114,6.21405,10.4692,-21.99,12.5926,-0.536795,-8.13651,28.204,-2.12341,2245.29,6.22736,10.5696,0
1121,6.19108,10.3335,-21.99,12.5926,-3.28128,-19.3882,28.1811,-2.25913,2245.99,5.5413,10.6769,0
1133,5.77343,10.279,-21.99,12.5926,-34.8044,-4.53946,27.7634,-2.3136,2244.82,1.51173,11.1676,0
1142,3.47355,10.4864,-21.99,12.5926,-255.543,23.0362,25.4635,-2.10627,2238.63,4.61001,-55.3639,0
